# step, loss function, Y0, learning rate, running time
1.310000000000000000e+02, 3.869635005791872686e+02, 6.497968675975947406e+01, 1.000000000000000000e+00, 1.095723698139190674e+02
1.320000000000000000e+02, 3.040387280052364076e+02, 6.519071005077218217e+01, 1.000000000000000000e+00, 1.102012097835540771e+02
1.330000000000000000e+02, 2.229407569900787394e+02, 6.540928382438262645e+01, 1.000000000000000000e+00, 1.108275237083435059e+02
1.340000000000000000e+02, 3.072076182521951750e+02, 6.561867387754985259e+01, 1.000000000000000000e+00, 1.114492738246917725e+02
1.350000000000000000e+02, 3.210904771892600138e+02, 6.583449036335366600e+01, 1.000000000000000000e+00, 1.120733828544616699e+02
1.360000000000000000e+02, 2.828736656896587647e+02, 6.604483837333943086e+01, 1.000000000000000000e+00, 1.127023370265960693e+02
1.370000000000000000e+02, 2.353475350553966052e+02, 6.625445804715644726e+01, 1.000000000000000000e+00, 1.133340678215026855e+02
1.380000000000000000e+02, 1.891979954543045324e+02, 6.644959224564564693e+01, 1.000000000000000000e+00, 1.139605057239532471e+02
1.390000000000000000e+02, 2.679184357905048159e+02, 6.663058044238246680e+01, 1.000000000000000000e+00, 1.146008100509643555e+02
1.400000000000000000e+02, 2.568138462984292119e+02, 6.681534386222801913e+01, 1.000000000000000000e+00, 1.152316389083862305e+02
1.410000000000000000e+02, 3.423754056282886609e+02, 6.700550157542728869e+01, 1.000000000000000000e+00, 1.158604187965393066e+02
1.420000000000000000e+02, 2.581844804500531154e+02, 6.719770122573591209e+01, 1.000000000000000000e+00, 1.164890627861022949e+02
1.430000000000000000e+02, 3.615813550129323630e+02, 6.740933176996057341e+01, 1.000000000000000000e+00, 1.171198279857635498e+02
1.440000000000000000e+02, 2.419818738154298785e+02, 6.764286950914009822e+01, 1.000000000000000000e+00, 1.177445609569549561e+02
1.450000000000000000e+02, 2.424442832311675033e+02, 6.787857754113765907e+01, 1.000000000000000000e+00, 1.183725669384002686e+02
1.460000000000000000e+02, 3.914326929265001240e+02, 6.810765635690111708e+01, 1.000000000000000000e+00, 1.189941627979278564e+02
1.470000000000000000e+02, 3.284795004055980598e+02, 6.833597042271162536e+01, 1.000000000000000000e+00, 1.196303780078887939e+02
1.480000000000000000e+02, 2.465776319315605178e+02, 6.854480996321497344e+01, 1.000000000000000000e+00, 1.202542920112609863e+02
1.490000000000000000e+02, 2.673833245844086264e+02, 6.875074554345194144e+01, 1.000000000000000000e+00, 1.209600970745086670e+02
1.500000000000000000e+02, 2.871895526347998384e+02, 6.896310967733592179e+01, 1.000000000000000000e+00, 1.218280000686645508e+02
1.510000000000000000e+02, 1.694673518551265090e+02, 6.917131132535300253e+01, 1.000000000000000000e+00, 1.224519159793853760e+02
1.520000000000000000e+02, 2.235105721101937775e+02, 6.934524447581219420e+01, 1.000000000000000000e+00, 1.230827898979187012e+02
1.530000000000000000e+02, 3.478809064394380357e+02, 6.950964729597644975e+01, 1.000000000000000000e+00, 1.237159228324890137e+02
1.540000000000000000e+02, 2.588766326712756154e+02, 6.967051054120335607e+01, 1.000000000000000000e+00, 1.243555598258972168e+02
1.550000000000000000e+02, 2.156079362914578041e+02, 6.982788575102784989e+01, 1.000000000000000000e+00, 1.250859997272491455e+02
1.560000000000000000e+02, 2.289523778762880397e+02, 6.999347944876443250e+01, 1.000000000000000000e+00, 1.259565849304199219e+02
1.570000000000000000e+02, 2.318913917862346352e+02, 7.015692253607576845e+01, 1.000000000000000000e+00, 1.265793280601501465e+02
1.580000000000000000e+02, 2.223023116281827356e+02, 7.031806853788907574e+01, 1.000000000000000000e+00, 1.272064859867095947e+02
1.590000000000000000e+02, 3.072999828010495094e+02, 7.047709876303665055e+01, 1.000000000000000000e+00, 1.278305149078369141e+02
1.600000000000000000e+02, 2.464525145917295106e+02, 7.064729278342886687e+01, 1.000000000000000000e+00, 1.284592740535736084e+02
1.610000000000000000e+02, 2.107557516463220963e+02, 7.081146428143063076e+01, 1.000000000000000000e+00, 1.291917567253112793e+02
1.620000000000000000e+02, 2.718750208353130802e+02, 7.095721010301969045e+01, 1.000000000000000000e+00, 1.301069829463958740e+02
1.630000000000000000e+02, 2.654528061285835747e+02, 7.108570987575748745e+01, 1.000000000000000000e+00, 1.310009567737579346e+02
1.640000000000000000e+02, 1.845637357391873365e+02, 7.120812622133503567e+01, 1.000000000000000000e+00, 1.316229338645935059e+02
1.650000000000000000e+02, 2.486079273666215670e+02, 7.132381371737420750e+01, 1.000000000000000000e+00, 1.322495088577270508e+02
1.660000000000000000e+02, 1.990815060053379852e+02, 7.145298572026959505e+01, 1.000000000000000000e+00, 1.328835718631744385e+02
1.670000000000000000e+02, 2.145769401220699706e+02, 7.159011865372971783e+01, 1.000000000000000000e+00, 1.335143229961395264e+02
1.680000000000000000e+02, 1.753492883224701018e+02, 7.172691410605715134e+01, 1.000000000000000000e+00, 1.341987357139587402e+02
1.690000000000000000e+02, 1.987150479958194751e+02, 7.186034368458692256e+01, 1.000000000000000000e+00, 1.350925860404968262e+02
1.700000000000000000e+02, 2.307094850185145845e+02, 7.200409537818818251e+01, 1.000000000000000000e+00, 1.357201669216156006e+02
1.710000000000000000e+02, 2.181856888750594408e+02, 7.213838553755761041e+01, 1.000000000000000000e+00, 1.363471238613128662e+02
1.720000000000000000e+02, 2.092847010886672194e+02, 7.227175855535884352e+01, 1.000000000000000000e+00, 1.369682788848876953e+02
1.730000000000000000e+02, 2.250922738022106842e+02, 7.239327800772697685e+01, 1.000000000000000000e+00, 1.378274619579315186e+02
1.740000000000000000e+02, 1.775913252737156540e+02, 7.250801192218342806e+01, 1.000000000000000000e+00, 1.387468249797821045e+02
1.750000000000000000e+02, 1.693222718573375403e+02, 7.262171585499456228e+01, 1.000000000000000000e+00, 1.394952208995819092e+02
1.760000000000000000e+02, 1.989709739295979603e+02, 7.272658821220747427e+01, 1.000000000000000000e+00, 1.401248457431793213e+02
1.770000000000000000e+02, 2.541454597467156873e+02, 7.284035633642223218e+01, 1.000000000000000000e+00, 1.407452337741851807e+02
1.780000000000000000e+02, 1.039884477528324993e+02, 7.297121224829422204e+01, 1.000000000000000000e+00, 1.414606618881225586e+02
1.790000000000000000e+02, 2.174301778267732743e+02, 7.308039855337123925e+01, 1.000000000000000000e+00, 1.423721621036529541e+02
1.800000000000000000e+02, 2.028682286304749312e+02, 7.318541431206242009e+01, 1.000000000000000000e+00, 1.432696237564086914e+02
1.810000000000000000e+02, 2.168426380585895572e+02, 7.327807909301688483e+01, 1.000000000000000000e+00, 1.438964269161224365e+02
